Program to calculate energy of water
Input NAME of configuration file : 
Number of molecules 100000
Thread 6 evaluated 28202 pairs
Thread 10 evaluated 29480 pairs
Thread 7 evaluated 24313 pairs
Thread 0 evaluated 22393 pairs
Thread 5 evaluated 31958 pairs
Thread 11 evaluated 30599 pairs
Thread 4 evaluated 25990 pairs
Thread 1 evaluated 27068 pairs
Thread 9 evaluated 23367 pairs
Thread 8 evaluated 25068 pairs
Thread 3 evaluated 37652 pairs
Thread 7 evaluated 24312 pairs
Thread 6 evaluated 28201 pairs
Thread 10 evaluated 29479 pairs
Thread 0 evaluated 22392 pairs
Thread 5 evaluated 31957 pairs
Thread 9 evaluated 23366 pairs
Thread 4 evaluated 25989 pairs
Thread 11 evaluated 30598 pairs
Thread 1 evaluated 27067 pairs
Thread 8 evaluated 25067 pairs
Thread 7 evaluated 24311 pairs
Thread 0 evaluated 22391 pairs
Thread 2 evaluated 95915 pairs
Thread 6 evaluated 28200 pairs
Thread 10 evaluated 29478 pairs
Thread 3 evaluated 37651 pairs
Thread 9 evaluated 23365 pairs
Thread 1 evaluated 27066 pairs
Thread 4 evaluated 25988 pairs
Thread 5 evaluated 31956 pairs
Thread 11 evaluated 30597 pairs
Thread 8 evaluated 25066 pairs
Thread 0 evaluated 22390 pairs
Thread 7 evaluated 24310 pairs
Thread 6 evaluated 28199 pairs
Thread 10 evaluated 29477 pairs
Thread 9 evaluated 23364 pairs
Thread 1 evaluated 27065 pairs
Thread 0 evaluated 22389 pairs
Thread 4 evaluated 25987 pairs
Thread 7 evaluated 24309 pairs
Thread 3 evaluated 37650 pairs
Thread 8 evaluated 25065 pairs
Thread 5 evaluated 31955 pairs
Thread 11 evaluated 30596 pairs
Thread 6 evaluated 28198 pairs
Thread 9 evaluated 23363 pairs
Thread 10 evaluated 29476 pairs
Thread 0 evaluated 22388 pairs
Thread 1 evaluated 27064 pairs
Thread 7 evaluated 24308 pairs
Thread 4 evaluated 25986 pairs
Thread 8 evaluated 25064 pairs
Thread 9 evaluated 23362 pairs
Thread 11 evaluated 30595 pairs
Thread 5 evaluated 31954 pairs
Thread 6 evaluated 28197 pairs
Thread 3 evaluated 37649 pairs
Thread 10 evaluated 29475 pairs
Thread 2 evaluated 95914 pairs
Thread 0 evaluated 22387 pairs
Thread 7 evaluated 24307 pairs
Thread 1 evaluated 27063 pairs
Thread 8 evaluated 25063 pairs
Thread 4 evaluated 25985 pairs
Thread 9 evaluated 23361 pairs
Thread 6 evaluated 28196 pairs
Thread 11 evaluated 30594 pairs
Thread 5 evaluated 31953 pairs
Thread 0 evaluated 22386 pairs
Thread 10 evaluated 29474 pairs
Thread 7 evaluated 24306 pairs
Thread 1 evaluated 27062 pairs
Thread 3 evaluated 37648 pairs
Thread 9 evaluated 23360 pairs
Thread 8 evaluated 25062 pairs
Thread 4 evaluated 25984 pairs
Thread 6 evaluated 28195 pairs
Thread 0 evaluated 22385 pairs
Thread 11 evaluated 30593 pairs
Thread 5 evaluated 31952 pairs
Thread 7 evaluated 24305 pairs
Thread 10 evaluated 29473 pairs
Thread 9 evaluated 23359 pairs
Thread 1 evaluated 27061 pairs
Thread 8 evaluated 25061 pairs
Thread 4 evaluated 25983 pairs
Thread 0 evaluated 22384 pairs
Thread 3 evaluated 37647 pairs
Thread 6 evaluated 28194 pairs
Thread 7 evaluated 24304 pairs
Thread 11 evaluated 30592 pairs
Thread 9 evaluated 23358 pairs
Thread 5 evaluated 31951 pairs
Thread 10 evaluated 29472 pairs
Thread 1 evaluated 27060 pairs
Thread 8 evaluated 25060 pairs
Thread 2 evaluated 95913 pairs
Thread 4 evaluated 25982 pairs
Thread 0 evaluated 22383 pairs
Thread 7 evaluated 24303 pairs
Thread 6 evaluated 28193 pairs
Thread 9 evaluated 23357 pairs
Thread 11 evaluated 30591 pairs
Thread 3 evaluated 37646 pairs
Thread 8 evaluated 25059 pairs
Thread 10 evaluated 29471 pairs
Thread 5 evaluated 31950 pairs
Thread 1 evaluated 27059 pairs
Thread 0 evaluated 22382 pairs
Thread 4 evaluated 25981 pairs
Thread 7 evaluated 24302 pairs
Thread 9 evaluated 23356 pairs
Thread 6 evaluated 28192 pairs
Thread 8 evaluated 25058 pairs
Thread 1 evaluated 27058 pairs
Thread 11 evaluated 30590 pairs
Thread 10 evaluated 29470 pairs
Thread 0 evaluated 22381 pairs
Thread 5 evaluated 31949 pairs
Thread 7 evaluated 24301 pairs
Thread 4 evaluated 25980 pairs
Thread 3 evaluated 37645 pairs
Thread 9 evaluated 23355 pairs
Thread 6 evaluated 28191 pairs
Thread 8 evaluated 25057 pairs
Thread 1 evaluated 27057 pairs
Thread 0 evaluated 22380 pairs
Thread 11 evaluated 30589 pairs
Thread 10 evaluated 29469 pairs
Thread 9 evaluated 23354 pairs
Thread 7 evaluated 24300 pairs
Thread 5 evaluated 31948 pairs
Thread 4 evaluated 25979 pairs
Thread 2 evaluated 95912 pairs
Thread 6 evaluated 28190 pairs
Thread 3 evaluated 37644 pairs
Thread 0 evaluated 22379 pairs
Thread 8 evaluated 25056 pairs
Thread 1 evaluated 27056 pairs
Thread 9 evaluated 23353 pairs
Thread 7 evaluated 24299 pairs
Thread 10 evaluated 29468 pairs
Thread 11 evaluated 30588 pairs
Thread 4 evaluated 25978 pairs
Thread 5 evaluated 31947 pairs
Thread 6 evaluated 28189 pairs
Thread 0 evaluated 22378 pairs
Thread 8 evaluated 25055 pairs
Thread 9 evaluated 23352 pairs
Thread 1 evaluated 27055 pairs
Thread 7 evaluated 24298 pairs
Thread 10 evaluated 29467 pairs
Thread 3 evaluated 37643 pairs
Thread 11 evaluated 30587 pairs
Thread 4 evaluated 25977 pairs
Thread 5 evaluated 31946 pairs
Thread 0 evaluated 22377 pairs
Thread 6 evaluated 28188 pairs
Thread 9 evaluated 23351 pairs
Thread 8 evaluated 25054 pairs
Thread 7 evaluated 24297 pairs
Thread 1 evaluated 27054 pairs
Thread 10 evaluated 29466 pairs
Thread 4 evaluated 25976 pairs
Thread 11 evaluated 30586 pairs
Thread 0 evaluated 22376 pairs
Thread 9 evaluated 23350 pairs
Thread 6 evaluated 28187 pairs
Thread 3 evaluated 37642 pairs
Thread 5 evaluated 31945 pairs
Thread 8 evaluated 25053 pairs
Thread 7 evaluated 24296 pairs
Thread 1 evaluated 27053 pairs
Thread 2 evaluated 95911 pairs
Thread 0 evaluated 22375 pairs
Thread 10 evaluated 29465 pairs
Thread 4 evaluated 25975 pairs
Thread 9 evaluated 23349 pairs
Thread 11 evaluated 30585 pairs
Thread 7 evaluated 24295 pairs
Thread 6 evaluated 28186 pairs
Thread 8 evaluated 25052 pairs
Thread 5 evaluated 31944 pairs
Thread 1 evaluated 27052 pairs
Thread 3 evaluated 37641 pairs
Thread 0 evaluated 22374 pairs
Thread 9 evaluated 23348 pairs
Thread 10 evaluated 29464 pairs
Thread 4 evaluated 25974 pairs
Thread 7 evaluated 24294 pairs
Thread 11 evaluated 30584 pairs
Thread 8 evaluated 25051 pairs
Thread 6 evaluated 28185 pairs
Thread 1 evaluated 27051 pairs
Thread 5 evaluated 31943 pairs
Thread 0 evaluated 22373 pairs
Thread 9 evaluated 23347 pairs
Thread 4 evaluated 25973 pairs
Thread 10 evaluated 29463 pairs
Thread 7 evaluated 24293 pairs
Thread 3 evaluated 37640 pairs
Thread 8 evaluated 25050 pairs
Thread 6 evaluated 28184 pairs
Thread 11 evaluated 30583 pairs
Thread 1 evaluated 27050 pairs
Thread 0 evaluated 22372 pairs
Thread 9 evaluated 23346 pairs
Thread 5 evaluated 31942 pairs
Thread 2 evaluated 95910 pairs
Thread 7 evaluated 24292 pairs
Thread 4 evaluated 25972 pairs
Thread 10 evaluated 29462 pairs
Thread 8 evaluated 25049 pairs
Thread 6 evaluated 28183 pairs
Thread 0 evaluated 22371 pairs
Thread 9 evaluated 23345 pairs
Thread 11 evaluated 30582 pairs
Thread 1 evaluated 27049 pairs
Thread 3 evaluated 37639 pairs
Thread 5 evaluated 31941 pairs
Thread 7 evaluated 24291 pairs
Thread 4 evaluated 25971 pairs
Thread 8 evaluated 25048 pairs
Thread 10 evaluated 29461 pairs
Thread 9 evaluated 23344 pairs
Thread 0 evaluated 22370 pairs
Thread 6 evaluated 28182 pairs
Thread 1 evaluated 27048 pairs
Thread 11 evaluated 30581 pairs
Thread 7 evaluated 24290 pairs
Thread 5 evaluated 31940 pairs
Thread 3 evaluated 37638 pairs
Thread 4 evaluated 25970 pairs
Thread 9 evaluated 23343 pairs
Thread 8 evaluated 25047 pairs
Thread 0 evaluated 22369 pairs
Thread 10 evaluated 29460 pairs
Thread 6 evaluated 28181 pairs
Thread 1 evaluated 27047 pairs
Thread 7 evaluated 24289 pairs
Thread 11 evaluated 30580 pairs
Thread 9 evaluated 23342 pairs
Thread 0 evaluated 22368 pairs
Thread 8 evaluated 25046 pairs
Thread 5 evaluated 31939 pairs
Thread 4 evaluated 25969 pairs
Thread 10 evaluated 29459 pairs
Thread 2 evaluated 95909 pairs
Thread 3 evaluated 37637 pairs
Thread 6 evaluated 28180 pairs
Thread 1 evaluated 27046 pairs
Thread 7 evaluated 24288 pairs
Thread 9 evaluated 23341 pairs
Thread 11 evaluated 30579 pairs
Thread 0 evaluated 22367 pairs
Thread 8 evaluated 25045 pairs
Thread 4 evaluated 25968 pairs
Thread 5 evaluated 31938 pairs
Thread 10 evaluated 29458 pairs
Thread 7 evaluated 24287 pairs
Thread 1 evaluated 27045 pairs
Thread 6 evaluated 28179 pairs
Thread 9 evaluated 23340 pairs
Thread 3 evaluated 37636 pairs
Thread 0 evaluated 22366 pairs
Thread 11 evaluated 30578 pairs
Thread 8 evaluated 25044 pairs
Thread 4 evaluated 25967 pairs
Thread 7 evaluated 24286 pairs
Thread 5 evaluated 31937 pairs
Thread 1 evaluated 27044 pairs
Thread 10 evaluated 29457 pairs
Thread 6 evaluated 28178 pairs
Thread 9 evaluated 23339 pairs
Thread 0 evaluated 22365 pairs
Thread 8 evaluated 25043 pairs
Thread 11 evaluated 30577 pairs
Thread 4 evaluated 25966 pairs
Thread 7 evaluated 24285 pairs
Thread 3 evaluated 37635 pairs
Thread 9 evaluated 23338 pairs
Thread 1 evaluated 27043 pairs
Thread 6 evaluated 28177 pairs
Thread 5 evaluated 31936 pairs
Thread 10 evaluated 29456 pairs
Thread 0 evaluated 22364 pairs
Thread 2 evaluated 95908 pairs
Thread 8 evaluated 25042 pairs
Thread 7 evaluated 24284 pairs
Thread 11 evaluated 30576 pairs
Thread 9 evaluated 23337 pairs
Thread 4 evaluated 25965 pairs
Thread 1 evaluated 27042 pairs
Thread 0 evaluated 22363 pairs
Thread 6 evaluated 28176 pairs
Thread 10 evaluated 29455 pairs
Thread 5 evaluated 31935 pairs
Thread 3 evaluated 37634 pairs
Thread 8 evaluated 25041 pairs
Thread 7 evaluated 24283 pairs
Thread 9 evaluated 23336 pairs
Thread 11 evaluated 30575 pairs
Thread 4 evaluated 25964 pairs
Thread 0 evaluated 22362 pairs
Thread 1 evaluated 27041 pairs
Thread 6 evaluated 28175 pairs
Thread 10 evaluated 29454 pairs
Thread 5 evaluated 31934 pairs
Thread 8 evaluated 25040 pairs
Thread 9 evaluated 23335 pairs
Thread 7 evaluated 24282 pairs
Thread 3 evaluated 37633 pairs
Thread 0 evaluated 22361 pairs
Thread 4 evaluated 25963 pairs
Thread 11 evaluated 30574 pairs
Thread 1 evaluated 27040 pairs
Thread 6 evaluated 28174 pairs
Thread 10 evaluated 29453 pairs
Thread 9 evaluated 23334 pairs
Thread 7 evaluated 24281 pairs
Thread 8 evaluated 25039 pairs
Thread 5 evaluated 31933 pairs
Thread 0 evaluated 22360 pairs
Thread 2 evaluated 95907 pairs
Thread 4 evaluated 25962 pairs
Thread 1 evaluated 27039 pairs
Thread 11 evaluated 30573 pairs
Thread 6 evaluated 28173 pairs
Thread 3 evaluated 37632 pairs
Thread 9 evaluated 23333 pairs
Thread 7 evaluated 24280 pairs
Thread 10 evaluated 29452 pairs
Thread 8 evaluated 25038 pairs
Thread 0 evaluated 22359 pairs
Thread 5 evaluated 31932 pairs
Thread 4 evaluated 25961 pairs
Thread 1 evaluated 27038 pairs
Thread 9 evaluated 23332 pairs
Thread 6 evaluated 28172 pairs
Thread 11 evaluated 30572 pairs
Thread 7 evaluated 24279 pairs
Thread 10 evaluated 29451 pairs
Thread 8 evaluated 25037 pairs
Thread 0 evaluated 22358 pairs
Thread 3 evaluated 37631 pairs
Thread 5 evaluated 31931 pairs
Thread 9 evaluated 23331 pairs
Thread 4 evaluated 25960 pairs
Thread 1 evaluated 27037 pairs
Thread 7 evaluated 24278 pairs
Thread 6 evaluated 28171 pairs
Thread 11 evaluated 30571 pairs
Thread 0 evaluated 22357 pairs
Thread 8 evaluated 25036 pairs
Thread 10 evaluated 29450 pairs
Thread 9 evaluated 23330 pairs
Thread 1 evaluated 27036 pairs
Thread 4 evaluated 25959 pairs
Thread 5 evaluated 31930 pairs
Thread 3 evaluated 37630 pairs
Thread 7 evaluated 24277 pairs
Thread 2 evaluated 95906 pairs
Thread 6 evaluated 28170 pairs
Thread 0 evaluated 22356 pairs
Thread 8 evaluated 25035 pairs
Thread 11 evaluated 30570 pairs
Thread 10 evaluated 29449 pairs
Thread 9 evaluated 23329 pairs
Thread 1 evaluated 27035 pairs
Thread 7 evaluated 24276 pairs
Thread 4 evaluated 25958 pairs
Thread 0 evaluated 22355 pairs
Thread 5 evaluated 31929 pairs
Thread 6 evaluated 28169 pairs
Thread 8 evaluated 25034 pairs
Thread 9 evaluated 23328 pairs
Thread 3 evaluated 37629 pairs
Thread 10 evaluated 29448 pairs
Thread 11 evaluated 30569 pairs
Thread 7 evaluated 24275 pairs
Thread 1 evaluated 27034 pairs
Thread 0 evaluated 22354 pairs
Thread 4 evaluated 25957 pairs
Thread 6 evaluated 28168 pairs
Thread 8 evaluated 25033 pairs
Thread 5 evaluated 31928 pairs
Thread 9 evaluated 23327 pairs
Thread 10 evaluated 29447 pairs
Thread 11 evaluated 30568 pairs
Thread 7 evaluated 24274 pairs
Thread 0 evaluated 22353 pairs
Thread 3 evaluated 37628 pairs
Thread 1 evaluated 27033 pairs
Thread 4 evaluated 25956 pairs
Thread 9 evaluated 23326 pairs
Thread 8 evaluated 25032 pairs
Thread 6 evaluated 28167 pairs
Thread 5 evaluated 31927 pairs
Thread 2 evaluated 95905 pairs
Thread 7 evaluated 24273 pairs
Thread 10 evaluated 29446 pairs
Thread 0 evaluated 22352 pairs
Thread 11 evaluated 30567 pairs
Thread 1 evaluated 27032 pairs
Thread 4 evaluated 25955 pairs
Thread 9 evaluated 23325 pairs
Thread 8 evaluated 25031 pairs
Thread 6 evaluated 28166 pairs
Thread 3 evaluated 37627 pairs
Thread 7 evaluated 24272 pairs
Thread 5 evaluated 31926 pairs
Thread 0 evaluated 22351 pairs
Thread 10 evaluated 29445 pairs
Thread 1 evaluated 27031 pairs
Thread 9 evaluated 23324 pairs
Thread 11 evaluated 30566 pairs
Thread 4 evaluated 25954 pairs
Thread 8 evaluated 25030 pairs
Thread 6 evaluated 28165 pairs
Thread 7 evaluated 24271 pairs
Thread 0 evaluated 22350 pairs
Thread 5 evaluated 31925 pairs
Thread 3 evaluated 37626 pairs
Thread 10 evaluated 29444 pairs
Thread 9 evaluated 23323 pairs
Thread 1 evaluated 27030 pairs
Thread 11 evaluated 30565 pairs
Thread 4 evaluated 25953 pairs
Thread 8 evaluated 25029 pairs
Thread 6 evaluated 28164 pairs
Thread 7 evaluated 24270 pairs
Thread 0 evaluated 22349 pairs
Thread 9 evaluated 23322 pairs
Thread 1 evaluated 27029 pairs
Thread 5 evaluated 31924 pairs
Thread 10 evaluated 29443 pairs
Thread 2 evaluated 95904 pairs
Thread 8 evaluated 25028 pairs
Thread 4 evaluated 25952 pairs
Thread 0 evaluated 22348 pairs
Thread 7 evaluated 24269 pairs
Thread 11 evaluated 30564 pairs
Thread 3 evaluated 37625 pairs
Thread 6 evaluated 28163 pairs
Thread 9 evaluated 23321 pairs
Thread 1 evaluated 27028 pairs
Thread 10 evaluated 29442 pairs
Thread 5 evaluated 31923 pairs
Thread 8 evaluated 25027 pairs
Thread 0 evaluated 22347 pairs
Thread 7 evaluated 24268 pairs
Thread 4 evaluated 25951 pairs
Thread 6 evaluated 28162 pairs
Thread 11 evaluated 30563 pairs
Thread 9 evaluated 23320 pairs
Thread 3 evaluated 37624 pairs
Thread 1 evaluated 27027 pairs
Thread 10 evaluated 29441 pairs
Thread 0 evaluated 22346 pairs
Thread 7 evaluated 24267 pairs
Thread 8 evaluated 25026 pairs
Thread 4 evaluated 25950 pairs
Thread 5 evaluated 31922 pairs
Thread 6 evaluated 28161 pairs
Thread 9 evaluated 23319 pairs
Thread 11 evaluated 30562 pairs
Thread 1 evaluated 27026 pairs
Thread 0 evaluated 22345 pairs
Thread 7 evaluated 24266 pairs
Thread 8 evaluated 25025 pairs
Thread 10 evaluated 29440 pairs
Thread 3 evaluated 37623 pairs
Thread 4 evaluated 25949 pairs
Thread 9 evaluated 23318 pairs
Thread 6 evaluated 28160 pairs
Thread 5 evaluated 31921 pairs
Thread 2 evaluated 95903 pairs
Thread 11 evaluated 30561 pairs
Thread 0 evaluated 22344 pairs
Thread 1 evaluated 27025 pairs
Thread 7 evaluated 24265 pairs
Thread 8 evaluated 25024 pairs
Thread 9 evaluated 23317 pairs
Thread 10 evaluated 29439 pairs
Thread 4 evaluated 25948 pairs
Thread 6 evaluated 28159 pairs
Thread 5 evaluated 31920 pairs
Thread 0 evaluated 22343 pairs
Thread 3 evaluated 37622 pairs
Thread 7 evaluated 24264 pairs
Thread 11 evaluated 30560 pairs
Thread 1 evaluated 27024 pairs
Thread 8 evaluated 25023 pairs
Thread 9 evaluated 23316 pairs
Thread 10 evaluated 29438 pairs
Thread 4 evaluated 25947 pairs
Thread 6 evaluated 28158 pairs
Thread 0 evaluated 22342 pairs
Thread 7 evaluated 24263 pairs
Thread 5 evaluated 31919 pairs
Thread 1 evaluated 27023 pairs
Thread 11 evaluated 30559 pairs
Thread 9 evaluated 23315 pairs
Thread 8 evaluated 25022 pairs
Thread 3 evaluated 37621 pairs
Thread 4 evaluated 25946 pairs
Thread 10 evaluated 29437 pairs
Thread 0 evaluated 22341 pairs
Thread 6 evaluated 28157 pairs
Thread 7 evaluated 24262 pairs
Thread 9 evaluated 23314 pairs
Thread 1 evaluated 27022 pairs
Thread 5 evaluated 31918 pairs
Thread 2 evaluated 95902 pairs
Thread 8 evaluated 25021 pairs
Thread 11 evaluated 30558 pairs
Thread 0 evaluated 22340 pairs
Thread 4 evaluated 25945 pairs
Thread 10 evaluated 29436 pairs
Thread 7 evaluated 24261 pairs
Thread 6 evaluated 28156 pairs
Thread 3 evaluated 37620 pairs
Thread 9 evaluated 23313 pairs
Thread 1 evaluated 27021 pairs
Thread 8 evaluated 25020 pairs
Thread 5 evaluated 31917 pairs
Thread 0 evaluated 22339 pairs
Thread 11 evaluated 30557 pairs
Thread 4 evaluated 25944 pairs
Thread 7 evaluated 24260 pairs
Thread 10 evaluated 29435 pairs
Thread 6 evaluated 28155 pairs
Thread 9 evaluated 23312 pairs
Thread 1 evaluated 27020 pairs
Thread 8 evaluated 25019 pairs
Thread 0 evaluated 22338 pairs
Thread 3 evaluated 37619 pairs
Thread 5 evaluated 31916 pairs
Thread 11 evaluated 30556 pairs
Thread 7 evaluated 24259 pairs
Thread 4 evaluated 25943 pairs
Thread 9 evaluated 23311 pairs
Thread 6 evaluated 28154 pairs
Thread 10 evaluated 29434 pairs
Thread 1 evaluated 27019 pairs
Thread 8 evaluated 25018 pairs
Thread 0 evaluated 22337 pairs
Thread 7 evaluated 24258 pairs
Thread 11 evaluated 30555 pairs
Thread 5 evaluated 31915 pairs
Thread 2 evaluated 95901 pairs
Thread 9 evaluated 23310 pairs
Thread 4 evaluated 25942 pairs
Thread 6 evaluated 28153 pairs
Thread 3 evaluated 37618 pairs
Thread 10 evaluated 29433 pairs
Thread 1 evaluated 27018 pairs
Thread 0 evaluated 22336 pairs
Thread 8 evaluated 25017 pairs
Thread 7 evaluated 24257 pairs
Thread 9 evaluated 23309 pairs
Thread 4 evaluated 25941 pairs
Thread 11 evaluated 30554 pairs
Thread 5 evaluated 31914 pairs
Thread 6 evaluated 28152 pairs
Thread 0 evaluated 22335 pairs
Thread 10 evaluated 29432 pairs
Thread 1 evaluated 27017 pairs
Thread 8 evaluated 25016 pairs
Thread 7 evaluated 24256 pairs
Thread 3 evaluated 37617 pairs
Thread 9 evaluated 23308 pairs
Thread 4 evaluated 25940 pairs
Thread 0 evaluated 22334 pairs
Thread 11 evaluated 30553 pairs
Thread 6 evaluated 28151 pairs
Thread 5 evaluated 31913 pairs
Thread 1 evaluated 27016 pairs
Thread 8 evaluated 25015 pairs
Thread 10 evaluated 29431 pairs
Thread 7 evaluated 24255 pairs
Thread 9 evaluated 23307 pairs
Thread 0 evaluated 22333 pairs
Thread 4 evaluated 25939 pairs
Thread 3 evaluated 37616 pairs
Thread 6 evaluated 28150 pairs
Thread 8 evaluated 25014 pairs
Thread 1 evaluated 27015 pairs
Thread 11 evaluated 30552 pairs
Thread 5 evaluated 31912 pairs
Thread 7 evaluated 24254 pairs
Thread 2 evaluated 95900 pairs
Thread 10 evaluated 29430 pairs
Thread 9 evaluated 23306 pairs
Thread 0 evaluated 22332 pairs
Thread 4 evaluated 25938 pairs
Thread 8 evaluated 25013 pairs
Thread 7 evaluated 24253 pairs
Thread 6 evaluated 28149 pairs
Thread 1 evaluated 27014 pairs
Thread 9 evaluated 23305 pairs
Thread 11 evaluated 30551 pairs
Thread 10 evaluated 29429 pairs
Thread 5 evaluated 31911 pairs
Thread 3 evaluated 37615 pairs
Thread 0 evaluated 22331 pairs
Thread 4 evaluated 25937 pairs
Thread 7 evaluated 24252 pairs
Thread 8 evaluated 25012 pairs
Thread 9 evaluated 23304 pairs
Thread 1 evaluated 27013 pairs
Thread 6 evaluated 28148 pairs
Thread 11 evaluated 30550 pairs
Thread 10 evaluated 29428 pairs
Thread 0 evaluated 22330 pairs
Thread 5 evaluated 31910 pairs
Thread 3 evaluated 37614 pairs
Thread 9 evaluated 23303 pairs
Thread 7 evaluated 24251 pairs
Thread 4 evaluated 25936 pairs
Thread 8 evaluated 25011 pairs
Thread 1 evaluated 27012 pairs
Thread 6 evaluated 28147 pairs
Thread 0 evaluated 22329 pairs
Thread 10 evaluated 29427 pairs
Thread 11 evaluated 30549 pairs
Thread 5 evaluated 31909 pairs
Thread 2 evaluated 95899 pairs
Thread 9 evaluated 23302 pairs
Thread 7 evaluated 24250 pairs
Thread 8 evaluated 25010 pairs
Thread 4 evaluated 25935 pairs
Thread 1 evaluated 27011 pairs
Thread 6 evaluated 28146 pairs
Thread 0 evaluated 22328 pairs
Thread 3 evaluated 37613 pairs
Thread 10 evaluated 29426 pairs
Thread 11 evaluated 30548 pairs
Thread 9 evaluated 23301 pairs
Thread 7 evaluated 24249 pairs
Thread 5 evaluated 31908 pairs
Thread 8 evaluated 25009 pairs
Thread 4 evaluated 25934 pairs
Thread 1 evaluated 27010 pairs
Thread 0 evaluated 22327 pairs
Thread 6 evaluated 28145 pairs
Thread 9 evaluated 23300 pairs
Thread 10 evaluated 29425 pairs
Thread 7 evaluated 24248 pairs
Thread 11 evaluated 30547 pairs
Thread 3 evaluated 37612 pairs
Thread 8 evaluated 25008 pairs
Thread 5 evaluated 31907 pairs
Thread 0 evaluated 22326 pairs
Thread 4 evaluated 25933 pairs
Thread 1 evaluated 27009 pairs
Thread 6 evaluated 28144 pairs
Thread 9 evaluated 23299 pairs
Thread 7 evaluated 24247 pairs
Thread 10 evaluated 29424 pairs
Thread 11 evaluated 30546 pairs
Thread 8 evaluated 25007 pairs
Thread 0 evaluated 22325 pairs
Thread 2 evaluated 95898 pairs
Thread 5 evaluated 31906 pairs
Thread 4 evaluated 25932 pairs
Thread 1 evaluated 27008 pairs
Thread 6 evaluated 28143 pairs
Thread 3 evaluated 37611 pairs
Thread 9 evaluated 23298 pairs
Thread 7 evaluated 24246 pairs
Thread 10 evaluated 29423 pairs
Thread 0 evaluated 22324 pairs
Thread 8 evaluated 25006 pairs
Thread 11 evaluated 30545 pairs
Thread 4 evaluated 25931 pairs
Thread 1 evaluated 27007 pairs
Thread 9 evaluated 23297 pairs
Thread 5 evaluated 31905 pairs
Thread 6 evaluated 28142 pairs
Thread 7 evaluated 24245 pairs
Thread 0 evaluated 22323 pairs
Thread 3 evaluated 37610 pairs
Thread 10 evaluated 29422 pairs
Thread 8 evaluated 25005 pairs
Thread 9 evaluated 23296 pairs
Thread 11 evaluated 30544 pairs
Thread 4 evaluated 25930 pairs
Thread 1 evaluated 27006 pairs
Thread 7 evaluated 24244 pairs
Thread 6 evaluated 28141 pairs
Thread 5 evaluated 31904 pairs
Thread 0 evaluated 22322 pairs
Thread 8 evaluated 25004 pairs
Thread 9 evaluated 23295 pairs
Thread 10 evaluated 29421 pairs
Thread 1 evaluated 27005 pairs
Thread 7 evaluated 24243 pairs
Thread 3 evaluated 37609 pairs
Thread 4 evaluated 25929 pairs
Thread 11 evaluated 30543 pairs
Thread 6 evaluated 28140 pairs
Thread 0 evaluated 22321 pairs
Thread 5 evaluated 31903 pairs
Thread 2 evaluated 95897 pairs
Thread 9 evaluated 23294 pairs
Thread 8 evaluated 25003 pairs
Thread 10 evaluated 29420 pairs
Thread 7 evaluated 24242 pairs
Thread 1 evaluated 27004 pairs
Thread 4 evaluated 25928 pairs
Thread 0 evaluated 22320 pairs
Thread 6 evaluated 28139 pairs
Thread 11 evaluated 30542 pairs
Thread 5 evaluated 31902 pairs
Thread 9 evaluated 23293 pairs
Thread 3 evaluated 37608 pairs
Thread 8 evaluated 25002 pairs
Thread 7 evaluated 24241 pairs
Thread 10 evaluated 29419 pairs
Thread 1 evaluated 27003 pairs
Thread 0 evaluated 22319 pairs
Thread 4 evaluated 25927 pairs
Thread 6 evaluated 28138 pairs
Thread 11 evaluated 30541 pairs
Thread 9 evaluated 23292 pairs
Thread 5 evaluated 31901 pairs
Thread 8 evaluated 25001 pairs
Thread 7 evaluated 24240 pairs
Thread 0 evaluated 22318 pairs
Thread 1 evaluated 27002 pairs
Thread 10 evaluated 29418 pairs
Thread 3 evaluated 37607 pairs
Thread 4 evaluated 25926 pairs
Thread 6 evaluated 28137 pairs
Thread 9 evaluated 23291 pairs
Thread 11 evaluated 30540 pairs
Thread 7 evaluated 24239 pairs
Thread 8 evaluated 25000 pairs
Thread 0 evaluated 22317 pairs
Thread 2 evaluated 95896 pairs
Thread 5 evaluated 31900 pairs
Thread 1 evaluated 27001 pairs
Thread 10 evaluated 29417 pairs
Thread 9 evaluated 23290 pairs
Thread 4 evaluated 25925 pairs
Thread 6 evaluated 28136 pairs
Thread 3 evaluated 37606 pairs
Thread 11 evaluated 30539 pairs
Thread 7 evaluated 24238 pairs
Thread 0 evaluated 22316 pairs
Thread 8 evaluated 24999 pairs
Thread 5 evaluated 31899 pairs
Thread 1 evaluated 27000 pairs
Thread 9 evaluated 23289 pairs
Thread 10 evaluated 29416 pairs
Thread 6 evaluated 28135 pairs
Thread 4 evaluated 25924 pairs
Thread 7 evaluated 24237 pairs
Thread 0 evaluated 22315 pairs
Thread 11 evaluated 30538 pairs
Thread 8 evaluated 24998 pairs
Thread 9 evaluated 23288 pairs
Thread 1 evaluated 26999 pairs
Thread 3 evaluated 37605 pairs
Thread 5 evaluated 31898 pairs
Thread 10 evaluated 29415 pairs
Thread 4 evaluated 25923 pairs
Thread 6 evaluated 28134 pairs
Thread 7 evaluated 24236 pairs
Thread 0 evaluated 22314 pairs
Thread 8 evaluated 24997 pairs
Thread 11 evaluated 30537 pairs
